iter	Passed	Remaining
289	17449	42721
290	17505	42651
291	17564	42587
292	17621	42519
293	17695	42493
294	17763	42450
295	17802	42340
296	17864	42285
297	17922	42219
298	17979	42152
299	18043	42101
300	18104	42042
301	18157	41966
302	18216	41903
303	18276	41843
304	18345	41804
305	18407	41746
306	18462	41676
307	18501	41568
308	18566	41520
309	18627	41461
310	18682	41389
311	18735	41313
312	18800	41264
313	18854	41191
314	18902	41105
315	18946	41009
316	18999	40936
317	19059	40876
318	19116	40809
319	19163	40723
320	19241	40700
321	19286	40608
322	19342	40542
323	19402	40482
324	19459	40414
325	19527	40372
326	19579	40297
327	19638	40235
328	19702	40182
329	19765	40129
330	19823	40066
331	19871	39982
332	19934	39929
333	19997	39875
334	20057	39816
335	20118	39758
336	20180	39703
337	20239	39640
338	20298	39578
339	20348	39500
340	20398	39421
341	20454	39353
342	20508	39282
343	20564	39216
344	20631	39169
345	20666	39063
346	20720	38992
347	20752	38880
348	20807	38812
349	20869	38757
350	20925	38690
351	20983	38628
352	21037	38559
353	21075	38459
354	21138	38406
355	21192	38336
356	21246	38267
357	21320	38233
358	21378	38171
359	21416	38073
360	21471	38006
361	21532	37949
362	21574	37859
363	21630	37793
364	21665	37691
365	21726	37634
366	21790	37584
367	21837	37502
368	21878	37413
369	21942	37361
370	22004	37306
371	22045	37216
372	22084	37124
373	22147	37070
374	22203	37005
375	22270	36958
376	22324	36891
377	22390	36843
378	22446	36778
379	22514	36734
380	22580	36685
381	22636	36620
382	22692	36556
383	22754	36502
384	22816	36446
385	22872	36382
386	22926	36314
387	22992	36267
388	23046	36199
389	23115	36155
390	23186	36113
391	23246	36055
392	23299	35986
393	23346	35909
394	23404	35846
395	23469	35796
396	23518	35722
397	23577	35662
398	23636	35602
399	23708	35562
